Category,Document
User guideline,"Persisting driver logs in client mode - If your applications are using event logging, the directory where the event logs go
(`spark.eventLog.dir`) should be manually created with proper permissions. To secure the log files,
the directory permissions should be set to `drwxrwxrwxt`. The owner and group of the directory
should correspond to the super user who is running the Spark History Server.

This will allow all users to write to the directory but will prevent unprivileged users from
reading, removing or renaming a file unless they own it. The event log files will be created by
Spark with permissions such that only the user and group have read and write access."
Generic policy,Security Policy
Scope of practise,"Supported Versions - | Version | Supported          |
| ------- | ------------------ |
| latest  | :heavy_check_mark: |"
User guideline,"Supported resources - - All repositories published under https://github.com/kiwitcms/
- Our GitHub Marketplace integration at https://github.com/marketplace/kiwi-tcms/
- Our GitHub integration App accessible at https://github.com/apps/kiwi-tcms
- Public Demo SaaS at https://public.tenant.kiwitcms.org


**IMPORTANT:** if you are performing a security scan on behalf of a third party
please install a self-hosted instance of the `kiwitcms/Kiwi` container before
probbing any of our digital properties!"
Reporting mechanism,"Reporting a Vulnerability - In case you have found a security problem with any of the resources mentioned
above **DO NOT** report it into GitHub Issues!

Email the Kiwi TCMS team directly at *info@kiwitcms.org* to coordinate the fix
and discloser of the issue.


Alternatively you can go to
[https://tidelift.com/security](https://tidelift.com/security)
and follow the instructions there. Kiwi TCMS is a registered partner of Tidelift
and will be notified when you report the security problem with them!"
Projects practise,"Security process - Here are the steps we follow:

1. The person discovering an issue (the reporter) privately reports it to info@kiwitcms.org.
1. The Kiwi TCMS team will reply to the reporter within 24 hours to acknowledge receipt.
1. The Kiwi TCMS team will start investigating the report.
1. The Kiwi TCMS team & reporter will keep the report confidential.
   This means avoiding public GitHub issues or commits.
1. Once a report has been investigated, the Kiwi TCMS team will notify the reporter whether
   the report has been accepted or rejected, with an explanation.
1. If a report is rejected, there is nothing else to do. If accepted, the process continues.
1. The Kiwi TCMS team will notify GitHub within 24 hours of a confirmed report.
   Note: per our GitHub Marketplace agreement!
1. The Kiwi TCMS team will prepare a fix and an accompanying announcement.
1. The Kiwi TCMS team will share the fix and draft announcement with the reporter.
1. Kiwi TCMS and the reporter will negotiate the fix, announcement, and release schedule.
1. With an announcement plan in place, we'll commit the fix and publish fixed release(s).
   The commits and releases will be made as close to the announcement as possible, and
   will not mention that they address a security vulnerability.
1. Release announcements for the new version(s) will go out as normal."
User guideline,Rewards - Kiwi TCMS currently does not offer rewards for disclosing security vulnerabilities.
Generic policy,Security Policy
Scope of practise,"Supported Versions - Indico uses the second part of the version number for major feature releases, ie.
3.1, 3.2, ...

**Bugfixes are generally only released for the latest major version (e.g. 3.1.1 to
fix bugs discovered in 3.1).**

**For security releases we usually follow the same schema.** In exceptional cases
where the previous version (e.g. 3.0) is still somewhat recent and thus widely
used AND no suitable workarounds exist, we may also create a patch release for
that version."
Reporting mechanism,"Reporting a Vulnerability - Please report it privately using GitHub's [""Report a Vulnerability""][gh-vuln] option.
In case you do not have a GitHub account, you can also email indico-team@cern.ch.


[gh-vuln]: https://github.com/indico/indico/security/advisories/new"
Generic policy,Security Policy
Scope of practise,"Supported Versions - Due to limited development bandwidth, only the [most recent release](https://pypi.org/project/pretalx/#history) is
currently supported. If you need support for previous releases, please contact
[support@pretalx.com](mailto:support@pretalx.com)."
Reporting mechanism,"Reporting a Vulnerability - If you find a vulnerability in pretalx, please contact [support@pretalx.com](mailto:support@pretalx.com). We will
respond in a timely manner. If appropriate, we will work with you on further processes/publishing and mitigation.
Since we are a small open source project, we will not be able to pay bounties, but we will acknowledge you in the
disclosure publication."
Generic policy,Security Policy
Scope of practise,"Supported Versions - GeoNode versions supported with security updates.

| Version | Supported          |
| ------- | ------------------ |
| 4.0.x   | :white_check_mark: |
| < 4.0   | :x:                |"
Reporting mechanism,"Reporting a Vulnerability - - **DO NOT** send a security alert on the public mailing list or any other public channel
- **SEND** the report to geonode-psc@lists.osgeo.org and be prapred to collaborate with the GeoNode PSC

Thanks for you support and help!"
Reporting mechanism,"Security Issues and Bugs - Please **report security issues confidentially** via GitHub [**""Report new
vulnerability""**](https://github.com/in-toto/in-toto/security/advisories/new) form.

Alternatively, you can email reports to torresariass@gmail.com, optionally encrypted
with PGP using this key (fingerprint):
> 903B AB73 640E B6D6 5533 EFF3 468F 122C E816 2295

Please **do not use the GitHub issue tracker** to submit vulnerability reports. The issue
tracker is intended for bug reports and to make feature requests. Major feature
requests, such as design changes to the specification, should be proposed via [in-toto
Enhancement](https://github.com/in-toto/ITE/blob/master/ITE/1/README.adoc) (ITE)."
Generic policy,Security Policy
Scope of practise,"Supported Versions - While we do have versions and releases, wger is developed and deployed like a rolling release. Currently we don't have the resources to support older versions."
Reporting mechanism,"Reporting a Vulnerability - If you found a vulnerability, please mention @rolandgeider in an issue or write an email to roland [at] geider.net. We will try to fix it as fast as we can."
Reporting mechanism,"Reporting a Vulnerability - **If you've found a security vulnerability, please report it to security@matrix.org**.

For more information on our security disclosure policy, visit https://www.matrix.org/security-disclosure-policy/."
Generic policy,"Security Policy - This security policy applies to all projects under the [open-telemetry organization][gh-organization] on GitHub. Security reports involving specific projects should still be reported following the instructions on this document: the report will be shared by the technical committee to the project leads, who might not all have access to the private key required to decrypt your message."
Scope of practise,"Supported Versions - The OpenTelemetry project provides community support only for the last minor version: bug fixes are released either as part of the next minor version or as an on-demand patch version. Independent of which version is next, all patch versions are cumulative, meaning that they represent the state of our `main` branch at the moment of the release. For instance, if the latest version is 0.10.0, bug fixes are released either as part of 0.11.0 or 0.10.1.

Security fixes are given priority and might be enough to cause a new version to be released."
Reporting mechanism,"Reporting a Vulnerability - If you find something suspicious and want to report it, we'd really appreciate!"
Reporting mechanism,"Ways to report - In order for the vulnerability reports to reach maintainers as soon as possible,
the preferred way is to use the `Report a vulnerability` button on the `Security`
tab in the respective GitHub repository. It creates a private communication channel
between the reporter and the maintainers.

If you are absolutely unable to or have strong reasons not to use GitHub reporting
workflow, please reach out to the maintainers or the Technical Committee using other
[available communication methods](https://opentelemetry.io/community/) and we will
provide instruction on how to report the vulnerability using an encrypted message.

[gh-organization]: https://github.com/open-telemetry"
Reporting mechanism,"Reporting a Vulnerability - If you discover a security vulnerability in Rdiffweb please disclose it via [our huntr page](https://huntr.dev/repos/ikus060/rdiffweb). Bounty eligibility, CVE assignment, response times and past reports are all there.

You may alos contact-us directly by email `info@ikus-soft.com`

Thank you for improving the security of Rdiffweb."
Reporting mechanism,"Reporting Security Issues - To report a security issue, please disclose it at [security advisory](https://github.com/certifi/python-certifi/security/advisories/new).

We will respond within 7 working days of your submission. If the issue is confirmed as a vulnerability, we will open a Security Advisory and acknowledge your contributions as part of it. This project follows a 90 day disclosure timeline."
Reporting mechanism,"Security - For the Plone Foundation, security is a process that we take seriously, and we have the track record to prove it.

- [Report a security issue](https://plone.org/security/report)
- [Security Announcements](https://plone.org/security/announcements)
- [Read more about security in Plone](https://plone.org/security)"
Generic policy,Security Vulnerabilities - Our policy for security related issues is to fix related issues within our power on the most recent major release.
Scope of practise,"Versioning - Versioning follows [PEP440](https://peps.python.org/pep-0440/): `major.minior.patch`.

Versions | Description
-------- | -----------
Major    | This reserved for releases that introduce breaking features.
Minor    | This reserved for releases that introduce new functionality.
Patch    | This is reserved for releases that only include bug fixes.

Example

```
8.0
8.1
8.1.3
```"
Reporting mechanism,"Create Security Vulnerability Report - If you have found a security vulnerability, you can create a draft ""security advisory"" on the GitHub repository,
[instructions here](https://docs.github.com/en/code-security/security-advisories/repository-security-advisories/creating-a-repository-security-advisory).
Such advisories are kept private as the issue is explored."
Projects practise,"Security Vulnerability Workflow - We will strive to acknowledge the report in about two business days.

Reports will be kept private until the issue is properly understood.

If the report is accepted we will notify Tidelift (who we've partnered with), request a CVE from GitHub, and work with
the reporter to find a resolution. Work will be done privately, and the final commit will not mention the security
issue.

The fix, announcement, and release will be negotiated with the reporter.

Afterwards, a release will be made and the vulnerability will be made public as close to each other as possible."
Generic policy,Security - <!-- Begin NI SECURITY.md V1.0 -->
Reporting mechanism,Reporting Security Issues - NI views the security of our software products as an important part of our commitment to our users.  This includes source code repositories managed through the [NI](https://github.com/ni) GitHub organization.
User guideline,"Learn More - We encourage you to report security vulnerabilities to us privately so we can follow the principle of [Coordinated Vulnerability Disclosure (CVD)](https://vuls.cert.org/confluence/display/CVD).  This allows us time to thoroughly investigate security issues and publicly disclose them when appropriate.

**Please do not report security vulnerabilities through public GitHub issues.**

Instead, please report them by sending an email to [security@ni.com](mailto:security@ni.com) with sufficient details about the type of issue, the impact of the issue, and how to reproduce the issue.  You may use the [NI PGP key](https://www.ni.com/en/support/security/pgp.html) to encrypt any sensitive communications you send to us. When you notify us of a potential security issue, our remediation process includes acknowledging receipt and coordinating any necessary response activities with you."
Reporting mechanism,"Security - For the Plone Foundation, security is a process that we take seriously, and we have the track record to prove it.

- [Report a security issue](https://plone.org/security/report)
- [Security Announcements](https://plone.org/security/announcements)
- [Read more about security in Plone](https://plone.org/security)"
Generic policy,Security Policy - This is a project of the [Apache Software Foundation](https://apache.org) and follows the ASF [vulnerability handling process](https://apache.org/security/#vulnerability-handling).
Reporting mechanism,Reporting a Vulnerability - To report a new vulnerability you have discovered please follow the [ASF vulnerability reporting process](https://apache.org/security/#reporting-a-vulnerability).
Generic policy,Security Policy
Scope of practise,"Supported Versions - Please note that in the case of a security issue being reported, only the latest release will be fixed. Users of earlier releases of Photologue can of course patch the version that they use and open an MR - it will be reviewed and a micro-release published."
Reporting mechanism,Reporting a Vulnerability - Please report vulnerabilities via the contact form at the personal website of the main project contributor: https://arbee.design/en-gb/contact/
Generic policy,Security Policy - The Zope developer community uses the same security policy as the Plone developer community. The most up to date information about Plone security is on https://plone.org/security
Scope of practise,"Supported Versions - For supported versions, see the [Zope development roadmap](https://www.zope.dev/developer/roadmap.html)."
Reporting mechanism,"Reporting a Vulnerability - Please do **NOT** create a public bug report if you think this may be a security issue.
Instead, please contact the Plone and Zope Security Team via email: security@plone.org. See also https://plone.org/security/report

Only bug reports submitted directly to the security team email will be treated as responsible disclosure. Any offered for sale to third parties or submitted to public bug bounty programmes will be treated as irresponsible public disclosure. We will not confirm any submissions on third party platforms such as ""huntr"" or ""hackerone"" and do not give permission for those systems to accept reports on our behalf or to represent themselves as a conduit for vulnerability reports."
Projects practise,"Reporting security issues - We're extremely grateful to security researchers and users
who report vulnerabilities to WireMock and its ecosystem.
All reports are thoroughly investigated by maintainers of respective repositories."
Reporting mechanism,"When to report issues? - - You think you discovered a potential security vulnerability in WireMock or its components
- You are unsure how a publicly announced vulnerability in an upstream project affects WireMock,
  and you suspect users might be impacted.
- You think you discovered a new vulnerability in another project that WireMock depends on.
  If so, make sure to report the issue to that project too by following their guidelines

Note that security hardening enhancements are not considered vulnerabilities,
and the common Request for Enhancement issue report should be used."
Reporting mechanism,"How to report an issue? - Most of WireMock repositories use the _GitHub Security Advisory_ engine
under the _Security_ tab for issue reporting.
Use it to submit the vulnerability reports,
and only maintainers will be able to see and triage your reports.
They will contact you to negotiate the disclosure time and the next steps.

If you cannot use the GitHub reporting flow or if you didn't get a response within one week,
you can also email the private `conduct@wiremock.org` list with the security details and the details expected for the bug reports.
It is not the main intent of this channel, but the security issues will be routed too.

For upstream projects and WireMock components with their own vulnerability reporting and disclosure process,
please follow those processes."
Projects practise,"Public Disclosure Timing - A public disclosure date is negotiated by WireMock maintainers and the bug submitter.
We prefer to fully disclose the bug as soon as possible once a user mitigation is available in WireMock and in downstream projects and distributions.
Note that it might take some time to coordinate releases and announcements 
even after the fix is available.
The WireMock maintainers will coordinate that.

The timeframe for disclosure is from immediate (especially if it's already publicly known) to a few months.
We intend to release fixes no later than 3 months according to the current independent security research practices.
We urge reporters to not disclose issues in public channels and social media before that."
Additional information,"Acknowledgements - This guide is inspired by the
[Jenkins Security Policy](https://jenkins.io/security),
[Kubernetes Security and Disclosure Information Guide](https://kubernetes.io/docs/reference/issues-security/security/),
and the [InnerSource pattern on security](https://github.com/InnerSourceCommons/InnerSourcePatterns/blob/main/patterns/1-initial/balancing-openness-and-security.md)."
Generic policy,Security Policy
Scope of practise,"Supported Versions - Use this section to tell people about which versions of your project are
currently being supported with security updates.

| Version | Supported          |
| ------- | ------------------ |
| Latest minor version   | :white_check_mark: |
| Otherwise   | :x:                |"
Reporting mechanism,"Reporting a Vulnerability - If you discover a potential security vulnerability, we kindly request that you refrain from sharing the information publicly and report it to us directly. 
Please send an email to me@frostming.com with the following details:

- Description of the potential vulnerability.
- Steps to reproduce the issue (if applicable).
- Any relevant screenshots or logs.
- Your contact information for further communication.

Alternatively, you can [open a security advisory](https://github.com/pdm-project/pdm/security/advisories/new) on GitHub."
Projects practise,"Response Time - Upon receiving your report, the maintainers will acknowledge receipt of your vulnerability report within 2 business days.
We will then review the reported issue and strive to keep you informed about our progress towards resolving it.
You can expect an update from us at least every 5 days until the issue is resolved."
Projects practise,"Vulnerability Validation - The maintainers will assess the reported vulnerability and validate its existence. This process may involve a request for additional information from you.
If the vulnerability is confirmed, we will classify it based on its severity and potential impact.

If your reported vulnerability is validated and leads to a change in our systems, we will acknowledge your contribution in any public disclosure, unless you request anonymity.
Otherwise, if the reported issue is not accepted as a vulnerability, we will provide a detailed explanation as to why we believe it does not pose a risk to our systems or users.
We value all reports and encourage you to continue to report any potential vulnerabilities you may find in the future."
Reporting mechanism,"Security contact information - To report a security vulnerability, please use the
[Tidelift security contact](https://tidelift.com/security).
Tidelift will coordinate the fix and disclosure."
Generic policy,Security Policy - ---
User guideline,"Security Information - Please see this wiki page for important notices about ArchiveBox security, publishing your archives securely, and the dangers of executing archived JS:

https://github.com/ArchiveBox/ArchiveBox/wiki/Security-Overview

Also see this section of the README about important caveats when running ArchiveBox:

https://github.com/ArchiveBox/ArchiveBox?tab=readme-ov-file#caveats

You can also read these pages for more information about ArchiveBox's internals, development environment, DB schema, and more:

- https://github.com/ArchiveBox/ArchiveBox#archive-layout
- https://github.com/ArchiveBox/ArchiveBox#archivebox-development
- https://github.com/ArchiveBox/ArchiveBox/wiki/Upgrading-or-Merging-Archives
- https://github.com/ArchiveBox/ArchiveBox/wiki/Troubleshooting

---"
Reporting mechanism,"Reporting a Vulnerability - We use Github's built-in [Private Reporting](https://docs.github.com/en/code-security/security-advisories/guidance-on-reporting-and-writing-information-about-vulnerabilities/privately-reporting-a-security-vulnerability) feature to accept vulnerability reports.

1. Go to the Security tab on our Github repo: https://github.com/ArchiveBox/ArchiveBox/security

2. Click the [""Report a Vulnerability""](https://github.com/ArchiveBox/ArchiveBox/security/advisories/new) button

3. Fill out the form to submit the details of the report and it will be securely sent to the maintainers

You can also contact the maintainers via our public [Zulip Chat Server zulip.archivebox.io](https://zulip.archivebox.io) or [Twitter DMs @ArchiveBoxApp](https://twitter.com/ArchiveBoxApp)."
Generic policy,Security Policy - The Zope developer community uses the same security policy as the Plone developer community. The most up to date information about Plone security is on https://plone.org/security
Scope of practise,"Supported Versions - For supported versions, see the [Zope development roadmap](https://www.zope.dev/developer/roadmap.html)."
Reporting mechanism,"Reporting a Vulnerability - Please do **NOT** create a public bug report if you think this may be a security issue.
Instead, please contact the Plone and Zope Security Team via email: security@plone.org. See also https://plone.org/security/report

Only bug reports submitted directly to the security team email will be treated as responsible disclosure. Any offered for sale to third parties or submitted to public bug bounty programmes will be treated as irresponsible public disclosure. We will not confirm any submissions on third party platforms such as ""huntr"" or ""hackerone"" and do not give permission for those systems to accept reports on our behalf or to represent themselves as a conduit for vulnerability reports."
Generic policy,"Security Policy - All Pallets projects share the same security policy. See
https://palletsprojects.com/security, the canonical location for the policy,
which this is copied from."
User guideline,"Before Reporting - There are some things we generally do not consider security issues, which can be
found at the canonical policy page: https://palletsprojects.com/security. Please
review the list before reporting an issue. You may still err on the side of
caution and make a private report first, but we may close it or ask you to
report a regular issue instead."
Reporting mechanism,"Reporting a Security Issue - If you believe you have identified a security issue with a Pallets or
Pallets-Eco project, **do not open a public issue**. To responsibly report a
security issue, use GitHub's [security advisory system][gh-docs]. From the
project's repository, click ""Security"" at the top, then click ""Advisories"" at
the left, then click the green ""New draft security advisory"" button.
Alternatively, you may email [security@palletsprojects.com](mailto:security@palletsprojects.com),
and we will convert that to a GitHub security advisory.

Be sure to include as much detail as necessary in your report. As with reporting
normal issues, a minimal reproducible example will help the maintainers address
the issue faster. Information about why the issue is a security issue is also
helpful. If you are able, you may also provide a fix for the issue.

A maintainer will reply acknowledging the report and how to continue. We will
obtain a CVE id as well, please do not do this on your own. We will work with
you to attempt to understand the issue and decide on its validity. Maintainers
are volunteers working in their free time, and therefore cannot guarantee any
specific timeline. Please be patient during this process.

The current feature release will receive security fixes. A backport to the
previous feature branch may be considered upon request based on usage information
and severity, but is not guaranteed.

[gh-docs]: https://docs.github.com/en/code-security/security-advisories/working-with-repository-security-advisories/creating-a-repository-security-advisory"
Reporting mechanism,"Security Policy - Please refer to the Snowflake [HackerOne program](https://hackerone.com/snowflake?type=team) for our security policies and for reporting any security vulnerabilities.

For other security related questions and concerns, please contact the Snowflake security team at security@snowflake.com"
Generic policy,Security Policy
Scope of practise,"Supported Versions - | Version  | Supported          |
|----------|--------------------|
| >= 0.4.x | :white_check_mark: |
| < 0.4.0  | :x:                |"
Reporting mechanism,"Reporting a Vulnerability - The preferred method for reporting a vulnerability is to use GitHub's
[vulnerability reporting tool][reporting]. Within the report please include details about the
vulnerability and how to reproduce it. Someone will reply to acknowledge receipt of the that the
vulnerability report. After an initial investigation of the report, another message will be sent
with details about how the maintainers plan to release the fix or asking for more information about
the vulnerability report."
Projects practise,"Public Disclosure - A description of the vulnerability will be made public after a new version has been published that
addresses the issue or within 120 days, whichever occurs first.

[reporting]: https://github.com/plannigan/hyper-bump-it/security/advisories/new"
Generic policy,Security Policy - The Zope developer community uses the same security policy as the Plone developer community. The most up to date information about Plone security is on https://plone.org/security
Scope of practise,"Supported Versions - For supported versions, see the [Zope development roadmap](https://www.zope.dev/developer/roadmap.html)."
Reporting mechanism,"Reporting a Vulnerability - Please do **NOT** create a public bug report if you think this may be a security issue.
Instead, please contact the Plone and Zope Security Team via email: security@plone.org. See also https://plone.org/security/report

Only bug reports submitted directly to the security team email will be treated as responsible disclosure. Any offered for sale to third parties or submitted to public bug bounty programmes will be treated as irresponsible public disclosure. We will not confirm any submissions on third party platforms such as ""huntr"" or ""hackerone"" and do not give permission for those systems to accept reports on our behalf or to represent themselves as a conduit for vulnerability reports."
Reporting mechanism,"Report a security issue - [//]: # (ATTENTION: This is the .MD version of docs/security.rst. Any changes should also be made in the RST version.)

We take security very seriously.
Your input and feedback on our security
is always appreciated.

You can send urgent or sensitive reports via [GitHub Security Advisory](https://github.com/twisted/twisted/security/advisories/new).

If you prefer, you can send via email to <security@twistedmatrix.com>.
You may use our PGP public key if you wish. We will create a GitHub
security advisory to coordinate a fix. Include your GitHub username so
that we add you as a collaborator on the advisory. See
[GHSA-c2jg-hw38-jrqq](https://github.com/twisted/twisted/security/advisories/GHSA-c2jg-hw38-jrqq)
for an example. We'll get back to you as soon as we can.

Twisted is an all volunteer project and there may be some delay before
we can respond.

Feel free to follow up if you think an unreasonable amount of time has
elapsed without a response!

All releases, including security releases, are announced on the mailing
list. Consider subscribing to receive notification about the
availability of a security fix."
User guideline,"Security Procedure for Developers - The goal of the normal Twisted development procedure is to make all
steps transparent and record all information at all times in a public
location - either the issue tracker or a branch.

The goal of the security variation of the Twisted development procedure
is to keep track of progress resolving security issues while minimizing
the window of time where information useful to attackers is available
before a fix for the issue is available to Twisted users.

This process is intended as a helpful recommendation. Elements of it may
be followed more or less strictly depending on the severity of the issue
in question:

1.  Begin by filing a ticket which does not describe the issue and
    simply says 'security issue, description pending' and has the
    'security' keyword.
2.  Create a security advisory in GitHub using the [GitHub
    UI](https://github.com/twisted/twisted/security/advisories/new).
    This will trigger the creation of a private repository that can be
    use for developing a patch. This automatically created private
    repository is also used to review the PR in private.
3.  Make the required changes to fix the security issue in the new
    private repository.
4.  Create a new PR using the GitHub security advisory UI. This will
    generate a private PR. Request the review and get the approval for
    the PR. Don't merge the PR after approval. In the PR description
    define the desired merge commit message. The PR will be merged by
    the release manager at the same time with the first release
    candidate.
5.  Automated notifications for the private repository and private PR
    are limited. Try to communicate over IRC, gitter or other means to
    find a person to review the new PR. Coordinate with the release
    manager. More info about the release process can be found on the
    [release process](docs/development/release-process.rst) dedicated page.
6.  We are not aware of a way to securely transmit our code to our
    public continuous integration systems. Reviewers should manually run
    the automated tests on their local forks of the new private
    repository.

Aside from hiding the details of the issue while development is ongoing,
all of the normal policies apply. Security fixes require unit tests,
code review, etc."
